fold,held_out_station,event_id,station,event_class,evaluation_group,reference_time,role
holdout_S12,S12,KO-SMQ-34,S15,shallow_moonquake,event:KO-SMQ-34,1976-04-02T09:39:05,train
holdout_S12,S12,KO-SMQ-35,S15,shallow_moonquake,event:KO-SMQ-35,1976-06-23T19:26:18,train
holdout_S12,S12,KO-SMQ-36,S15,shallow_moonquake,event:KO-SMQ-36,1976-07-24T17:24:10,validation
holdout_S12,S12,KO-SMQ-37,S15,shallow_moonquake,event:KO-SMQ-37,1976-08-07T00:18:59,validation
holdout_S12,S12,KO-SMQ-38,S15,shallow_moonquake,event:KO-SMQ-38,1976-08-07T15:19:07,validation
holdout_S12,S12,KO-SMQ-39,S15,shallow_moonquake,event:KO-SMQ-39,1976-09-25T22:22:25,validation
holdout_S12,S12,KO-SMQ-4,S14,shallow_moonquake,event:KO-SMQ-4,1972-06-18T19:34:31,train
holdout_S12,S12,KO-SMQ-4,S15,shallow_moonquake,event:KO-SMQ-4,1972-06-18T19:34:31,train
holdout_S12,S12,KO-SMQ-4,S16,shallow_moonquake,event:KO-SMQ-4,1972-06-18T19:34:31,train
holdout_S12,S12,KO-SMQ-40,S15,shallow_moonquake,shallow-repeat:KO-SMQ-26+KO-SMQ-40,1976-12-02T12:45:41,train
holdout_S12,S12,KO-SMQ-41,S15,shallow_moonquake,event:KO-SMQ-41,1977-01-08T16:20:31,validation
holdout_S12,S12,KO-SMQ-42,S15,shallow_moonquake,event:KO-SMQ-42,1977-02-19T10:21:24,validation
holdout_S12,S12,KO-SMQ-43,S15,shallow_moonquake,event:KO-SMQ-43,1977-06-18T15:37:25,validation
holdout_S12,S12,KO-SMQ-44,S15,shallow_moonquake,event:KO-SMQ-44,1977-06-28T02:13:40,validation
holdout_S12,S12,KO-SMQ-45,S15,shallow_moonquake,event:KO-SMQ-45,1977-07-02T02:01:29,validation
holdout_S12,S12,KO-SMQ-46,S15,shallow_moonquake,event:KO-SMQ-46,1977-07-26T18:19:45,validation
holdout_S12,S12,KO-SMQ-5,S15,shallow_moonquake,event:KO-SMQ-5,1972-06-24T12:27:49,train
holdout_S12,S12,KO-SMQ-6,S14,shallow_moonquake,event:KO-SMQ-6,1972-09-11T00:54:27,train
holdout_S12,S12,KO-SMQ-6,S15,shallow_moonquake,event:KO-SMQ-6,1972-09-11T00:54:27,train
holdout_S12,S12,KO-SMQ-6,S16,shallow_moonquake,event:KO-SMQ-6,1972-09-11T00:54:27,train
holdout_S12,S12,KO-SMQ-7,S14,shallow_moonquake,event:KO-SMQ-7,1972-10-24T14:25:25,train
holdout_S12,S12,KO-SMQ-8,S15,shallow_moonquake,event:KO-SMQ-8,1973-05-09T11:02:13,train
holdout_S12,S12,KO-SMQ-9,S15,shallow_moonquake,event:KO-SMQ-9,1973-06-17T12:59:43,train
holdout_S12,S12,YN-SMQ-1,S14,shallow_moonquake,event:YN-SMQ-1,1971-04-17T07:04:00,train
holdout_S12,S12,YN-SMQ-10,S14,shallow_moonquake,event:YN-SMQ-10,1973-06-20T20:25:00,train
holdout_S12,S12,YN-SMQ-10,S15,shallow_moonquake,event:YN-SMQ-10,1973-06-20T20:25:00,train
holdout_S12,S12,YN-SMQ-10,S16,shallow_moonquake,event:YN-SMQ-10,1973-06-20T20:25:00,train
holdout_S12,S12,YN-SMQ-11,S15,shallow_moonquake,event:YN-SMQ-11,1973-10-01T04:00:00,train
holdout_S12,S12,YN-SMQ-11,S16,shallow_moonquake,event:YN-SMQ-11,1973-10-01T04:00:00,train
holdout_S12,S12,YN-SMQ-12,S15,shallow_moonquake,event:YN-SMQ-12,1974-02-23T21:17:00,train
holdout_S12,S12,YN-SMQ-12,S16,shallow_moonquake,event:YN-SMQ-12,1974-02-23T21:17:00,train
holdout_S12,S12,YN-SMQ-13,S14,shallow_moonquake,event:YN-SMQ-13,1974-03-27T09:11:00,train
holdout_S12,S12,YN-SMQ-13,S15,shallow_moonquake,event:YN-SMQ-13,1974-03-27T09:11:00,train
holdout_S12,S12,YN-SMQ-13,S16,shallow_moonquake,event:YN-SMQ-13,1974-03-27T09:11:00,train
holdout_S12,S12,YN-SMQ-14,S14,shallow_moonquake,event:YN-SMQ-14,1974-04-19T13:39:00,train
holdout_S12,S12,YN-SMQ-14,S15,shallow_moonquake,event:YN-SMQ-14,1974-04-19T13:39:00,train
holdout_S12,S12,YN-SMQ-14,S16,shallow_moonquake,event:YN-SMQ-14,1974-04-19T13:39:00,train
holdout_S12,S12,YN-SMQ-15,S14,shallow_moonquake,event:YN-SMQ-15,1974-05-29T20:45:00,train
holdout_S12,S12,YN-SMQ-15,S15,shallow_moonquake,event:YN-SMQ-15,1974-05-29T20:45:00,train
holdout_S12,S12,YN-SMQ-15,S16,shallow_moonquake,event:YN-SMQ-15,1974-05-29T20:45:00,train
holdout_S12,S12,YN-SMQ-16,S14,shallow_moonquake,event:YN-SMQ-16,1974-07-11T00:52:00,train
holdout_S12,S12,YN-SMQ-16,S15,shallow_moonquake,event:YN-SMQ-16,1974-07-11T00:52:00,train
holdout_S12,S12,YN-SMQ-16,S16,shallow_moonquake,event:YN-SMQ-16,1974-07-11T00:52:00,train
holdout_S12,S12,YN-SMQ-17,S14,shallow_moonquake,event:YN-SMQ-17,1975-01-03T01:47:00,train
holdout_S12,S12,YN-SMQ-17,S15,shallow_moonquake,event:YN-SMQ-17,1975-01-03T01:47:00,train
holdout_S12,S12,YN-SMQ-17,S16,shallow_moonquake,event:YN-SMQ-17,1975-01-03T01:47:00,train
holdout_S12,S12,YN-SMQ-18,S14,shallow_moonquake,event:YN-SMQ-18,1975-01-12T03:17:00,train
holdout_S12,S12,YN-SMQ-18,S15,shallow_moonquake,event:YN-SMQ-18,1975-01-12T03:17:00,train
holdout_S12,S12,YN-SMQ-18,S16,shallow_moonquake,event:YN-SMQ-18,1975-01-12T03:17:00,train
holdout_S12,S12,YN-SMQ-19,S14,shallow_moonquake,event:YN-SMQ-19,1975-01-13T00:28:00,train
holdout_S12,S12,YN-SMQ-19,S15,shallow_moonquake,event:YN-SMQ-19,1975-01-13T00:28:00,train
holdout_S12,S12,YN-SMQ-19,S16,shallow_moonquake,event:YN-SMQ-19,1975-01-13T00:28:00,train
holdout_S12,S12,YN-SMQ-2,S14,shallow_moonquake,event:YN-SMQ-2,1971-05-20T17:29:00,train
holdout_S12,S12,YN-SMQ-20,S14,shallow_moonquake,event:YN-SMQ-20,1975-02-13T22:05:00,train
holdout_S12,S12,YN-SMQ-20,S15,shallow_moonquake,event:YN-SMQ-20,1975-02-13T22:05:00,train
holdout_S12,S12,YN-SMQ-20,S16,shallow_moonquake,event:YN-SMQ-20,1975-02-13T22:05:00,train
holdout_S12,S12,YN-SMQ-21,S14,shallow_moonquake,event:YN-SMQ-21,1975-05-07T06:40:00,train
holdout_S12,S12,YN-SMQ-21,S15,shallow_moonquake,event:YN-SMQ-21,1975-05-07T06:40:00,train
holdout_S12,S12,YN-SMQ-21,S16,shallow_moonquake,event:YN-SMQ-21,1975-05-07T06:40:00,train
holdout_S12,S12,YN-SMQ-22,S14,shallow_moonquake,event:YN-SMQ-22,1975-05-27T23:32:00,train
holdout_S12,S12,YN-SMQ-22,S15,shallow_moonquake,event:YN-SMQ-22,1975-05-27T23:32:00,train
holdout_S12,S12,YN-SMQ-22,S16,shallow_moonquake,event:YN-SMQ-22,1975-05-27T23:32:00,train
holdout_S12,S12,YN-SMQ-23,S14,shallow_moonquake,event:YN-SMQ-23,1975-11-10T07:56:00,train
holdout_S12,S12,YN-SMQ-23,S15,shallow_moonquake,event:YN-SMQ-23,1975-11-10T07:56:00,train
holdout_S12,S12,YN-SMQ-23,S16,shallow_moonquake,event:YN-SMQ-23,1975-11-10T07:56:00,train
holdout_S12,S12,YN-SMQ-24,S14,shallow_moonquake,event:YN-SMQ-24,1976-01-04T11:20:00,train
holdout_S12,S12,YN-SMQ-24,S15,shallow_moonquake,event:YN-SMQ-24,1976-01-04T11:20:00,train
holdout_S12,S12,YN-SMQ-24,S16,shallow_moonquake,event:YN-SMQ-24,1976-01-04T11:20:00,train
holdout_S12,S12,YN-SMQ-25,S14,shallow_moonquake,event:YN-SMQ-25,1976-01-12T08:22:00,train
holdout_S12,S12,YN-SMQ-25,S15,shallow_moonquake,event:YN-SMQ-25,1976-01-12T08:22:00,train
holdout_S12,S12,YN-SMQ-25,S16,shallow_moonquake,event:YN-SMQ-25,1976-01-12T08:22:00,train
holdout_S12,S12,YN-SMQ-26,S14,shallow_moonquake,event:YN-SMQ-26,1976-03-06T10:16:00,train
holdout_S12,S12,YN-SMQ-26,S15,shallow_moonquake,event:YN-SMQ-26,1976-03-06T10:16:00,train
holdout_S12,S12,YN-SMQ-26,S16,shallow_moonquake,event:YN-SMQ-26,1976-03-06T10:16:00,train
holdout_S12,S12,YN-SMQ-27,S14,shallow_moonquake,event:YN-SMQ-27,1976-03-08T14:44:00,train
holdout_S12,S12,YN-SMQ-27,S15,shallow_moonquake,event:YN-SMQ-27,1976-03-08T14:44:00,train
holdout_S12,S12,YN-SMQ-27,S16,shallow_moonquake,event:YN-SMQ-27,1976-03-08T14:44:00,train
holdout_S12,S12,YN-SMQ-28,S15,shallow_moonquake,event:YN-SMQ-28,1976-05-16T12:36:00,train
holdout_S12,S12,YN-SMQ-28,S16,shallow_moonquake,event:YN-SMQ-28,1976-05-16T12:36:00,train
holdout_S12,S12,YN-SMQ-3,S14,shallow_moonquake,event:YN-SMQ-3,1971-07-11T13:27:00,train
holdout_S12,S12,YN-SMQ-4,S14,shallow_moonquake,event:YN-SMQ-4,1972-01-02T22:32:00,train
holdout_S12,S12,YN-SMQ-4,S15,shallow_moonquake,event:YN-SMQ-4,1972-01-02T22:32:00,train
holdout_S12,S12,YN-SMQ-5,S14,shallow_moonquake,event:YN-SMQ-5,1972-09-17T14:38:00,train
holdout_S12,S12,YN-SMQ-6,S14,shallow_moonquake,event:YN-SMQ-6,1972-12-06T23:10:00,train
holdout_S12,S12,YN-SMQ-6,S15,shallow_moonquake,event:YN-SMQ-6,1972-12-06T23:10:00,train
holdout_S12,S12,YN-SMQ-6,S16,shallow_moonquake,event:YN-SMQ-6,1972-12-06T23:10:00,train
holdout_S12,S12,YN-SMQ-7,S15,shallow_moonquake,event:YN-SMQ-7,1972-12-09T03:52:00,train
holdout_S12,S12,YN-SMQ-7,S16,shallow_moonquake,event:YN-SMQ-7,1972-12-09T03:52:00,train
holdout_S12,S12,YN-SMQ-8,S14,shallow_moonquake,event:YN-SMQ-8,1973-02-08T22:53:00,train
holdout_S12,S12,YN-SMQ-8,S15,shallow_moonquake,event:YN-SMQ-8,1973-02-08T22:53:00,train
holdout_S12,S12,YN-SMQ-8,S16,shallow_moonquake,event:YN-SMQ-8,1973-02-08T22:53:00,train
holdout_S12,S12,YN-SMQ-9,S14,shallow_moonquake,event:YN-SMQ-9,1973-03-13T08:01:00,train
holdout_S12,S12,YN-SMQ-9,S15,shallow_moonquake,event:YN-SMQ-9,1973-03-13T08:01:00,train
holdout_S12,S12,YN-SMQ-9,S16,shallow_moonquake,event:YN-SMQ-9,1973-03-13T08:01:00,train
holdout_S12,S12,levent-00010,S12,artificial_impact_lm,event:levent-00010,1969-11-20T22:17:00,test
holdout_S12,S12,levent-00017,S12,deep_moonquake_assigned,deep-family:A2,1969-11-30T03:24:00,test
holdout_S12,S12,levent-00022,S12,natural_impact,event:levent-00022,1969-12-01T05:28:00,test
holdout_S12,S12,levent-00030,S12,natural_impact,event:levent-00030,1969-12-08T01:44:00,test
holdout_S12,S12,levent-00039,S12,deep_moonquake_assigned,deep-family:A6,1969-12-12T01:54:00,test
holdout_S12,S12,levent-00051,S12,natural_impact,event:levent-00051,1969-12-14T09:03:00,test
holdout_S12,S12,levent-00055,S12,natural_impact,event:levent-00055,1969-12-16T00:27:00,test
holdout_S12,S12,levent-00094,S12,deep_moonquake_assigned,deep-family:A1,1970-01-09T02:03:00,test
holdout_S12,S12,levent-00097,S12,deep_moonquake_assigned,deep-family:A5,1970-01-10T04:09:00,test
holdout_S12,S12,levent-00104,S12,natural_impact,event:levent-00104,1970-01-19T20:25:00,test
holdout_S12,S12,levent-00114,S12,natural_impact,event:levent-00114,1970-01-24T06:53:00,test
holdout_S12,S12,levent-00125,S12,deep_moonquake_assigned,deep-family:A4,1970-02-02T10:59:00,test
holdout_S12,S12,levent-00126,S12,deep_moonquake_assigned,deep-family:A1,1970-02-02T14:30:00,test
holdout_S12,S12,levent-00132,S12,deep_moonquake_assigned,deep-family:A1,1970-02-04T20:40:00,test
holdout_S12,S12,levent-00137,S12,deep_moonquake_assigned,deep-family:A3,1970-02-06T08:06:00,test
holdout_S12,S12,levent-00138,S12,deep_moonquake_assigned,deep-family:A1,1970-02-07T01:33:00,test
holdout_S12,S12,levent-00139,S12,deep_moonquake_assigned,deep-family:A5,1970-02-07T03:26:00,test
holdout_S12,S12,levent-00146,S12,natural_impact,event:levent-00146,1970-02-18T01:41:00,test
holdout_S12,S12,levent-00186,S12,natural_impact,event:levent-00186,1970-03-03T20:17:00,test
holdout_S12,S12,levent-00197,S12,natural_impact,event:levent-00197,1970-03-14T12:00:00,test
holdout_S12,S12,levent-00215,S12,natural_impact,event:levent-00215,1970-03-25T03:32:00,test
holdout_S12,S12,levent-00217,S12,natural_impact,event:levent-00217,1970-03-26T20:17:00,test
holdout_S12,S12,levent-00224,S12,deep_moonquake_assigned,deep-family:A6,1970-03-30T12:51:00,test
holdout_S12,S12,levent-00225,S12,deep_moonquake_assigned,deep-family:A1,1970-03-30T17:40:00,test
holdout_S12,S12,levent-00238,S12,deep_moonquake_assigned,deep-family:A1,1970-04-03T10:49:00,test
holdout_S12,S12,levent-00240,S12,natural_impact,event:levent-00240,1970-04-05T11:37:00,test
holdout_S12,S12,levent-00255,S12,artificial_impact_sivb,event:levent-00255,1970-04-15T01:09:00,test
holdout_S12,S12,levent-00271,S12,natural_impact,event:levent-00271,1970-04-23T23:45:00,test
holdout_S12,S12,levent-00274,S12,natural_impact,event:levent-00274,1970-04-25T01:14:00,test
holdout_S12,S12,levent-00280,S12,deep_moonquake_assigned,deep-family:A1,1970-04-26T14:29:00,test
holdout_S12,S12,levent-00281,S12,deep_moonquake_assigned,deep-family:A6,1970-04-26T15:12:00,test
holdout_S12,S12,levent-00321,S12,natural_impact,event:levent-00321,1970-05-20T16:45:00,test
holdout_S12,S12,levent-00325,S12,deep_moonquake_assigned,deep-family:A1,1970-05-23T13:08:00,test
holdout_S12,S12,levent-00329,S12,deep_moonquake_assigned,deep-family:A6,1970-05-24T04:35:00,test
holdout_S12,S12,levent-00333,S12,deep_moonquake_assigned,deep-family:A1,1970-05-25T12:12:00,test
holdout_S12,S12,levent-00334,S12,deep_moonquake_assigned,deep-family:A1,1970-05-27T03:27:00,test
holdout_S12,S12,levent-00357,S12,natural_impact,event:levent-00357,1970-06-15T19:00:00,test
holdout_S12,S12,levent-00365,S12,deep_moonquake_assigned,deep-family:A7,1970-06-19T21:27:00,test
holdout_S12,S12,levent-00376,S12,deep_moonquake_assigned,deep-family:A1,1970-06-22T11:58:00,test
holdout_S12,S12,levent-00381,S12,natural_impact,event:levent-00381,1970-06-26T20:01:00,test
holdout_S12,S12,levent-00393,S12,natural_impact,event:levent-00393,1970-07-06T22:14:00,test
holdout_S12,S12,levent-00408,S12,deep_moonquake_assigned,deep-family:A1,1970-07-16T03:48:00,test
holdout_S12,S12,levent-00414,S12,deep_moonquake_assigned,deep-family:A7,1970-07-17T05:02:00,test
holdout_S12,S12,levent-00415,S12,deep_moonquake_assigned,deep-family:A1,1970-07-18T00:33:00,test
holdout_S12,S12,levent-00418,S12,natural_impact,event:levent-00418,1970-07-20T05:06:00,test
holdout_S12,S12,levent-00420,S12,deep_moonquake_assigned,deep-family:A5,1970-07-20T11:17:00,test
holdout_S12,S12,levent-00421,S12,deep_moonquake_assigned,deep-family:A1,1970-07-20T11:44:00,test
holdout_S12,S12,levent-00423,S12,deep_moonquake_assigned,deep-family:A1,1970-07-23T05:35:00,test
holdout_S12,S12,levent-00425,S12,natural_impact,event:levent-00425,1970-07-27T03:40:00,test
holdout_S12,S12,levent-00449,S12,natural_impact,event:levent-00449,1970-08-07T08:40:00,test
holdout_S12,S12,levent-00456,S12,natural_impact,event:levent-00456,1970-08-11T00:13:00,test
holdout_S12,S12,levent-00467,S12,natural_impact,event:levent-00467,1970-08-13T16:26:00,test
holdout_S12,S12,levent-00513,S12,deep_moonquake_assigned,deep-family:A7,1970-09-08T10:48:00,test
holdout_S12,S12,levent-00517,S12,deep_moonquake_assigned,deep-family:A1,1970-09-09T12:10:00,test
holdout_S12,S12,levent-00530,S12,deep_moonquake_assigned,deep-family:A1,1970-09-13T23:03:00,test
holdout_S12,S12,levent-00551,S12,natural_impact,event:levent-00551,1970-09-26T19:57:00,test
holdout_S12,S12,levent-00556,S12,natural_impact,event:levent-00556,1970-09-27T22:30:00,test
holdout_S12,S12,levent-00557,S12,deep_moonquake_assigned,deep-family:A8,1970-09-28T21:20:00,test
holdout_S12,S12,levent-00563,S12,deep_moonquake_assigned,deep-family:A7,1970-10-06T15:15:00,test
holdout_S12,S12,levent-00566,S12,deep_moonquake_assigned,deep-family:A13,1970-10-06T20:28:00,test
holdout_S12,S12,levent-00600,S12,natural_impact,event:levent-00600,1970-10-24T11:31:00,test
holdout_S12,S12,levent-00604,S12,deep_moonquake_assigned,deep-family:A8,1970-10-26T05:10:00,test
holdout_S12,S12,levent-00614,S12,deep_moonquake_assigned,deep-family:A7,1970-11-03T08:36:00,test
holdout_S12,S12,levent-00615,S12,deep_moonquake_assigned,deep-family:A1,1970-11-03T17:14:00,test
holdout_S12,S12,levent-00623,S12,natural_impact,event:levent-00623,1970-11-07T10:09:00,test
holdout_S12,S12,levent-00631,S12,natural_impact,event:levent-00631,1970-11-12T12:50:00,test
holdout_S12,S12,levent-00652,S12,natural_impact,event:levent-00652,1970-11-30T01:44:00,test
holdout_S12,S12,levent-00653,S12,deep_moonquake_assigned,deep-family:A1,1970-11-30T02:34:00,test
holdout_S12,S12,levent-00654,S12,deep_moonquake_assigned,deep-family:A6,1970-11-30T22:41:00,test
holdout_S12,S12,levent-00662,S12,deep_moonquake_assigned,deep-family:A1,1970-12-03T16:38:00,test
holdout_S12,S12,levent-00665,S12,natural_impact,event:levent-00665,1970-12-11T07:22:00,test
holdout_S12,S12,levent-00668,S12,natural_impact,event:levent-00668,1970-12-13T22:51:00,test
holdout_S12,S12,levent-00683,S12,deep_moonquake_assigned,deep-family:A1,1970-12-27T20:34:00,test
holdout_S12,S12,levent-00685,S12,natural_impact,event:levent-00685,1970-12-28T07:43:00,test
holdout_S12,S12,levent-00689,S12,deep_moonquake_assigned,deep-family:A6,1970-12-28T20:28:00,test
holdout_S12,S12,levent-00695,S12,deep_moonquake_assigned,deep-family:A1,1970-12-31T15:41:00,test
holdout_S12,S12,levent-00696,S12,natural_impact,event:levent-00696,1971-01-03T10:53:00,test
holdout_S12,S12,levent-00701,S12,natural_impact,event:levent-00701,1971-01-04T23:52:00,test
holdout_S12,S12,levent-00702,S12,natural_impact,event:levent-00702,1971-01-05T00:47:00,test
holdout_S12,S12,levent-00721,S12,natural_impact,event:levent-00721,1971-01-15T12:40:00,test
holdout_S12,S12,levent-00723,S12,natural_impact,event:levent-00723,1971-01-17T17:51:00,test
holdout_S12,S12,levent-00747,S12,deep_moonquake_assigned,deep-family:A1,1971-01-28T14:59:00,test
holdout_S12,S12,levent-00748,S12,natural_impact,event:levent-00748,1971-01-29T18:21:00,test
holdout_S12,S12,levent-00752,S12,natural_impact,event:levent-00752,1971-02-03T02:08:00,test
holdout_S12,S12,levent-00756,S14,artificial_impact_lm,event:levent-00756,1971-02-07T00:47:00,train
holdout_S12,S12,levent-00766,S12,natural_impact,event:levent-00766,1971-02-09T03:42:00,test
holdout_S12,S12,levent-00767,S12,deep_moonquake_assigned,deep-family:A8,1971-02-10T01:49:00,test
holdout_S12,S12,levent-00781,S12,natural_impact,event:levent-00781,1971-02-15T19:36:00,test
holdout_S12,S12,levent-00801,S12,natural_impact,event:levent-00801,1971-02-20T05:59:00,test
holdout_S12,S12,levent-00810,S12,deep_moonquake_assigned,deep-family:A6,1971-02-21T11:24:00,test
holdout_S12,S12,levent-00820,S12,deep_moonquake_assigned,deep-family:A1,1971-02-22T15:50:00,test
holdout_S12,S12,levent-00831,S12,deep_moonquake_assigned,deep-family:A1,1971-02-25T12:17:00,test
holdout_S12,S12,levent-00836,S12,deep_moonquake_assigned,deep-family:A3,1971-02-27T07:09:00,test
holdout_S12,S12,levent-00881,S12,deep_moonquake_assigned,deep-family:A8,1971-03-10T17:39:00,test
holdout_S12,S12,levent-00885,S12,deep_moonquake_assigned,deep-family:A18,1971-03-11T21:24:00,test
holdout_S12,S12,levent-00899,S14,natural_impact,event:levent-00899,1971-03-14T23:14:00,train
holdout_S12,S12,levent-00901,S12,natural_impact,event:levent-00901,1971-03-15T07:50:00,test
holdout_S12,S12,levent-00924,S14,natural_impact,event:levent-00924,1971-03-19T18:20:00,train
holdout_S12,S12,levent-00941,S12,deep_moonquake_assigned,deep-family:A1,1971-03-21T16:28:00,test
holdout_S12,S12,levent-00971,S12,deep_moonquake_assigned,deep-family:A1,1971-03-23T21:14:00,test
holdout_S12,S12,levent-00986,S12,natural_impact,event:levent-00986,1971-03-25T15:18:00,test
holdout_S12,S12,levent-00988,S12,deep_moonquake_assigned,deep-family:A1,1971-03-26T00:27:00,test
holdout_S12,S12,levent-00991,S12,natural_impact,event:levent-00991,1971-03-26T18:23:00,test
holdout_S12,S12,levent-00997,S12,natural_impact,event:levent-00997,1971-03-27T23:36:00,test
holdout_S12,S12,levent-01013,S14,natural_impact,event:levent-01013,1971-04-01T13:34:00,train
holdout_S12,S12,levent-01014,S12,deep_moonquake_assigned,deep-family:A23,1971-04-01T16:36:00,test
holdout_S12,S12,levent-01033,S12,deep_moonquake_assigned,deep-family:A94,1971-04-03T01:49:00,test
holdout_S12,S12,levent-01066,S12,deep_moonquake_assigned,deep-family:A8,1971-04-08T09:04:00,test
holdout_S12,S12,levent-01086,S12,natural_impact,event:levent-01086,1971-04-13T12:55:00,test
holdout_S12,S12,levent-01117,S12,deep_moonquake_assigned,deep-family:A18,1971-04-16T18:44:00,test
holdout_S12,S12,levent-01121,S12,deep_moonquake_assigned,deep-family:A1,1971-04-17T06:13:00,test
holdout_S12,S12,levent-01136,S12,natural_impact,event:levent-01136,1971-04-21T23:37:00,test
holdout_S12,S12,levent-01222,S12,natural_impact,event:levent-01222,1971-05-12T08:05:00,test
holdout_S12,S12,levent-01223,S12,natural_impact,event:levent-01223,1971-05-12T09:45:00,test
holdout_S12,S12,levent-01233,S12,natural_impact,event:levent-01233,1971-05-13T03:00:00,test
holdout_S12,S12,levent-01238,S12,natural_impact,event:levent-01238,1971-05-13T11:51:00,test
holdout_S12,S12,levent-01248,S14,natural_impact,event:levent-01248,1971-05-15T02:04:00,train
holdout_S12,S12,levent-01267,S12,natural_impact,event:levent-01267,1971-05-22T17:55:00,test
holdout_S12,S12,levent-01270,S12,natural_impact,event:levent-01270,1971-05-23T22:20:00,test
holdout_S12,S12,levent-01346,S12,natural_impact,event:levent-01346,1971-06-04T21:51:00,test
holdout_S12,S12,levent-01369,S14,natural_impact,event:levent-01369,1971-06-08T14:20:00,train
holdout_S12,S12,levent-01386,S12,deep_moonquake_assigned,deep-family:A1,1971-06-09T10:17:00,test
holdout_S12,S12,levent-01410,S12,natural_impact,event:levent-01410,1971-06-11T13:52:00,test
holdout_S12,S12,levent-01416,S12,deep_moonquake_assigned,deep-family:A1,1971-06-12T06:38:00,test
holdout_S12,S12,levent-01417,S12,natural_impact,event:levent-01417,1971-06-12T10:51:00,test
holdout_S12,S12,levent-01428,S12,natural_impact,event:levent-01428,1971-06-19T16:35:00,test
holdout_S12,S12,levent-01455,S12,natural_impact,event:levent-01455,1971-06-24T17:19:00,test
holdout_S12,S12,levent-01471,S12,natural_impact,event:levent-01471,1971-06-26T00:11:00,test
holdout_S12,S12,levent-01476,S12,natural_impact,event:levent-01476,1971-06-27T18:55:00,test
holdout_S12,S12,levent-01488,S14,natural_impact,event:levent-01488,1971-06-30T14:01:00,train
